ID_Tempat,Nama_Tempat,Daerah,Latitude,Longitude,Telepon,Gambar,Menu
t0001,"Babi Guling & Siobak Singaraja ""Sandi""",Denpasar Utara,"-8,636,253","115,193,073",85965900360,"1_a,1_b","Nasi Babi Guling Biasa, Nasi Babi Guling Spesial, Lawar Putih, Lawar Merah, Bakso Babi"
t0002,Wr. Babi Guling Mawar,Denpasar Utara,"-8,627,955","115,208,472",81805313408,"2_a,2_b,2_c","Nasi Babi Guling Siram Bumbu, Nasi Be Guling, Paket Nasi Be Guling, Nasi Babi Guling Pahe, Nasi Be Guling Dobel Kulit"
t0003,Wr. Makan Pak Joni,Denpasar Selatan,"-87,027,762","1,152,305,969",85237101606,"3_a,3_b,3_c,3_d","Nasi Lawar Sapi, Nasi Lawar, Nasi Lawar Komplit, Nasi Soto, Soto Sapi"
t0004,Wr. Babi Guling Cahaya Bintang Tina,Denpasar Utara,"-8,636,147","115,210,471",81236381964,"4_a,4_b,4_c","Nasi Babi Guling Istimewa, Nasi Babi Guling Biasa, Babi Guling Spesial, Kuah Balung, Nasi Lawar"
t0005,Wr. Babi Guling Sandi,Denpasar Utara,"-8,615,789","115,212,484",81999588028,5_a,"Nasi Babi Guling Komplit, Babi Guling Spesial, Soto Balung, Tum Babi, Kerupuk Babi "
t0006,Warung Bu Desak,Denpasar Utara,"-8,613,435","115,212,962",82144036768,"6_a,6_b,6_c,6_d","Rujak Bumbu Colek Mangga, Tipat Cantok Telur, Rujak Kuah Pindang Mangga, Rujak Serut Mangga, Bulung Rambut Kuah Pindang"
t0007,Warung Nasi Ayam Betutu,Denpasar Utara,"-8,626,252","11,520,804",85237209911,"7_a,7_b,7_c","Nasi Ayam Betutu Panggang, Nasi Sela Betutu, Ayam Betutu, Nasi Betutu Biasa, Nasi Betutu Spesial"
t0008,Nasi Tempong Bu Bella,Denpasar Selatan,"-870,022","11,518,114",87861187505,"8_a,8_b,8_c","Nila Goreng, Ayam Dada, Tahu Tempe, Nasi Uduk, Nila Goreng Sambal Ijo"
t0009,Warung Makan MJ,Denpasar Utara,"-860,235","115,214,203",85739410713,"9_a,9_b","Sop Iga Sapi, Soto Ayam Bening, Ayam Bakar Luar Biasa, Ikan Nila Bumbu Pecak, Ayam Goreng Luar Biasa"
t0010,Warung Adi,Denpasar Selatan,"-87,018,291","1,152,332,273",89678275868,"10_a,10_b,10_c,10_d,10_e","Nasi Campur Porsi Biasa, Nasi Campur Porsi Sedang, Nasi Campur Porsi Besar, Nasi Campur Porsi Spesial, Nasi Campur Porsi Komplit"
t0011,Wr. Murni Asih,Denpasar Selatan,"-8,678,132","115,224,462",81236155803,"11_a,11_b,11_c,11_d,11_e","Nasi Kuning Abon, Nasi Kuning Abon dan Ikan, Nasi Kuning Abon dan Telur, Kwetiau Goreng, Nasi Goreng Kampung"
t0012,Warung Babi Guling Mawar 2,Denpasar Timur,"-8,681,042","115,237,832",081 79762312,"12_a,12_b,12_c","Nasi Be Guling Dobel Kulit, Nasi Lawar, Nasi Lawar Komplit, Nasi Lawar Sapi, Nasi Soto"
t0013,Wr. Nabe Bali,Denpasar Timur,"-8,648,865","115,230,628",82144001343,"13_a,13_b,13_c","Nasi Be Genyol, Gulai Iga Babi, Bakso  Balung Bali, Nasi Putih, Nasi Ayam Bali"
t0014,Warung Suastina,Denpasar Barat,"-864,633","115,185,824",81999918742,"14_a,14_b","Tipat Sate Ayam Porsi Biasa, Tipat Sate Ayam Porsi Jumbo, Sate Ayam Bumbu Khas Bali, Plecing Kangkung, Sate Babi Bumbu Khas Bali"
t0015,Warung Made,Denpasar Timur,"-866,458","115,240,064",85238251876,15_a,"Mie Goreng, Mie Goreng Mawut, Ikan Goreng Lalapan, Nasi Goreng Bali, Cap Cay"
t0016,Warung Nasi Bu Sari,Denpasar Timur,"-8,641,578","115,230,677",81916600136,"16_a,16_b,16_c","Nasi dan Ayam Goreng, Telor Balado, Lele Goreng, Tumis Kacang, Terong Balado"
t0017,Warung Bu Bangli,Denpasar Timur,"-8,639,934","115,230,801",85338876553,17_a,"Ayam Bakar, Ayam Pedas Manis, Cap Cay Ayam, Ayam Geprek, Bakso Ayam Pedas Manis"
t0018,Laku Betutu Ayam,Denpasar Timur,"-8,636,618","11,522,954",3617851881,18_a,"Sambal Matah 1 Porsi, Ayam Betutu, Sayur Plecing, Sate Lilit Ayam, Ayam Betutu Bakar"
t0019,Warung Anom,Denpasar Utara,"-862,513","115,223,771",81338453464,"19_a,19_b","Nasi Campur Ayam Betutu Biasa, Kerupuk Bawang, Nasi Kotak Komplit, Kulit Ayam, Nasi Campur Ayam Betutu Spesial"
t0020,Warung Babi Guling Nyama,Denpasar Utara,"-86,492","1,152,173",8500720847,"20_a,20_b,20_c","Babi Guling Spesial, Babi Guling Biasa, Babi Guling Istimewa, Sate Lilit Babi,Oret Babi"
t0021,Warung Babi Guling Ken Arok,Denpasar Utara,"-862,852","11,520,848",81338720808,"21_a,21_b,21_c,21_d,21_e","Nasi Babi Guling Hemat, Nasi Babi Guling Spesial, Nasi Babi Guling Biasa Gen, Nasi Babi Guling Campur, Kerupuk Kulit Ayam Jumbo"
t0022,Warung Nasi Tekor Bali,Denpasar Timur,"-864,205","11,525,532",82144225501,"22_a,22_b","Nasi Campur Biasa, Nasi Campur Spesial, Rujak Kuah Pindang, Tipat Cantok, Rujak Gula Bali "
t0023,Warung Liku Ayam Betutu,Denpasar Timur,"-8,658,259","115,219,274",821472320,23_a,"Nasi Ayam Betutu Biasa, Nasi Campur Bali, Ayam Betutu, Bebek Betutu, Nasi Ayam Betutu Spesial"
t0024,Babi Guling Gung Cung,Denpasar Timur,-8.668.942,115.228.399,0,"24_a,24_b,24_c,24_d,24_d,24_e,24_f,24_g","Nasi Babi Guling Spesial Pisah, Nasi Babi Guling Campur, Nasi Babi Guling Porsi Anak, Gorengan Merah, Ekstra Sambal"
t0025,Warung Bu Komang,Denpasar Timur,"-8,659,064","115,233,154",81337335543,25_a,"Nasi Campur Biasa, Nasi Campur Spesial, Babi Kecap, Sop Babi, Babi Panggang"
t0026,Warung Ibu Widi,Denpasar Selatan,"-8,682,652","115,221,151",(0361) 246449,26_a,"Ayam Lalapan, Ayam Penyet, Bi Hun Goreng, Nasi Goreng Ayam, Cap Cay"
t0027,Warung Nasi Babi Guling Men Repot,Denpasar Timur,"-864,227","11,523,857",85101230600,"27_a,27_b,27_c,27_d,27_e,27_f","Nasi Babi Guling Biasa, Nasi Babi Guling Komplit, Lawar, Nasi Babi Guling Pisah Spesial, Kuah Pisah"
